Origin	DepDelay	ArrDelay	LateAircraftDelay	SecurityDelay	NASDelay	WeatherDelay	CarrierDelay
CAE	12.8507477371	11.3132970835	15.3475030953	0.0635575732563	25.8774246801	2.04168386298	26.3986793232
PWM	12.6292690234	13.076252068	16.6060954572	0.017251293847	33.43933295	4.10523289247	17.6676250719
PMD	12.5918079096	13.6605374823	17.1173184358	0.195530726257	44.530726257	0.0	9.41899441341
SGF	12.5575908103	12.1639514372	16.8661604177	0.0280018984338	26.5215946844	6.72187944945	30.584717608
AVP	12.5515734266	11.4155331286	16.8927911275	0.13123844732	26.3974121996	5.49168207024	24.1626617375
BGR	12.5367778974	12.7233429395	5.9702457956	0.0206985769728	38.360931436	7.3893919793	16.680465718
MQT	12.5194532072	9.87406616862	4.01648351648	0.0	20.8406593407	4.70879120879	57.8791208791
MDW	12.4276981499	7.23304170244	28.3205615991	0.0863833663791	10.9532179412	4.15106371577	13.3919939982
FAY	12.4017017465	14.5434977578	11.7996515679	0.0174216027875	21.7735191638	8.7787456446	23.1254355401
HOU	12.270937592	8.82394690755	28.9525068142	0.0215577764929	7.79449905014	2.09349962831	12.5951102668
DHN	12.2394775036	13.519622093	9.58769230769	0.0769230769231	19.6769230769	8.98769230769	28.8307692308
FWA	11.9168946648	11.0315663064	18.6210680322	0.0526700804682	29.1975128018	2.76079005121	23.8185808339
BTV	11.906676449	13.1198529412	17.1719955899	0.125689084895	34.9261300992	2.17144432194	14.585446527
DFW	11.8687167961	10.4425731781	15.2075064895	0.0105249719854	13.1932935219	3.50511354771	20.1900878027
BMI	11.8200087374	11.4741568112	22.1617515639	0.0205540661305	27.0053619303	4.24843610366	15.6514745308
AGS	11.8041543027	11.8650827323	9.99826086957	0.0695652173913	25.1773913043	8.78260869565	20.56
SJU	11.5844876638	9.71484082397	26.9597380081	0.0587555384319	12.6208822963	0.209978809478	22.1005586592
SYR	11.5295070783	11.8292119449	18.6615037109	0.0845434010971	28.2465311391	2.56179412714	15.9299774121
ATL	11.5203958555	10.7486246048	15.880682685	0.0203852021358	15.0885583524	4.07775553013	18.3449656751
BTR	11.4626623377	12.7126904734	20.8392769907	0.0620420127015	20.5901319003	6.97313141182	18.8309721544
LIT	11.4613595588	9.8661023727	27.2223572296	0.0282503037667	14.6482381531	4.22326852977	16.697144593
DAB	11.4121107266	12.1448922863	19.8065902579	0.0	26.558739255	4.5100286533	17.2048710602
ROA	11.3961420185	9.63699972012	17.2649800266	0.284953395473	30.0319573901	3.76697736352	20.0905459387
XNA	11.3664541658	11.0627987352	21.3768796992	0.0686090225564	25.9432957393	3.61058897243	17.2286967419
PBI	11.2471070483	8.5912783708	24.3412017167	0.00528227137669	27.3910531529	0.914328161109	10.4384285243
CWA	11.238566131	11.297107438	23.4575645756	0.180811808118	37.2324723247	2.43911439114	13.4151291513
LGA	11.1998889016	10.1199872693	24.4156916724	0.0172370643809	19.7070950385	4.53932303072	9.91021710567
FLL	11.1352251752	9.69721385542	23.815465504	0.103808668889	23.6418312388	1.26994101052	11.2644267761
SCC	10.9888888889	8.49577464789	37.2937062937	2.13286713287	2.94405594406	10.1048951049	7.86713286713
ABY	10.9628942486	11.8300835655	9.85774058577	0.0878661087866	19.3472803347	9.43514644351	23.489539749
DAL	10.9556407448	8.79473883422	27.5308368089	0.0387789511048	7.99369952968	1.91498802023	11.4491081729
SDF	10.9451849837	9.43236484336	23.8201912859	0.0735387885228	24.6282678002	4.20743889479	13.8512221041
PFN	10.8945147679	9.72972258917	17.765171504	0.0	17.5118733509	8.22295514512	27.3337730871
TVC	10.8772272394	10.6876069421	18.6059602649	0.0	35.5154525386	3.2417218543	16.3631346578
LWB	10.8415300546	13.0765027322	11.3076923077	0.0	24.6923076923	4.48717948718	24.0512820513
MLI	10.8260082106	9.35162971041	23.7331863286	0.0512679162073	27.0848952591	4.04961411246	14.4421168688
VLD	10.8080260304	11.8503253796	9.30102040816	0.030612244898	18.1785714286	8.9387755102	26.3520408163
ROC	10.7802356683	11.6472548167	20.2831395349	0.0241279069767	32.5563953488	2.99622093023	11.4651162791
SAV	10.7366930073	10.7043549835	16.2898364861	0.0663674254569	25.506893235	2.80538634178	17.4434113498
CMI	10.6496960486	11.8860518293	15.096723869	0.0	31.2215288612	2.72854914197	22.8330733229
IAH	10.6021717508	8.84939609599	16.7121958501	0.312310295069	17.3748071852	3.81412648654	16.3737871324
MCN	10.5128617363	10.2524115756	0.804347826087	0.282608695652	15.7971014493	8.82608695652	40.3333333333
LNK	10.5125594026	9.71175468484	27.8125	0.150337837838	44.0253378378	2.06925675676	6.96283783784
MHT	10.4834071401	7.46326877709	22.3744877049	0.0858094262295	24.8078893443	4.96644467213	11.5742827869
CHS	10.4802817924	9.83164492384	15.6451412605	0.0217323812481	25.1291524371	3.93728655697	15.4697298975
LAS	10.4661824014	5.32876583763	27.205952037	0.116238081479	11.020572089	1.35267263797	13.2026292979
CID	10.4450543296	9.96683530073	21.2421203438	0.101719197708	27.7722063037	4.89923591213	13.6919770774
BUF	10.441367761	8.9668879344	22.2449920227	0.230987413579	27.139336997	4.48466583939	12.0195000886
CMX	10.3584229391	9.32258064516	21.6	0.0	15.4571428571	12.0857142857	74.0857142857
PVD	10.3450955587	7.2845355216	21.3488981017	0.0680776783766	26.8114771983	4.77220161466	9.94326860135
GTR	10.2748414376	12.4069767442	12.9132653061	0.0408163265306	29.0969387755	5.71428571429	23.6275510204
MKE	10.2682421527	10.7835957878	17.9434247681	0.00958047599839	23.9897135942	4.28842275111	14.7331585317
LAN	10.2384462716	11.6688422247	20.5024096386	0.0578313253012	34.9	2.40722891566	12.7614457831
HRL	10.2380503885	7.21165279429	38.8101910828	0.0	6.04585987261	1.33757961783	5.51082802548
RIC	10.1960683673	9.90120469522	18.4698498095	0.0217440035866	28.8121497422	3.1262048868	13.9961891952
BNA	10.1461871873	7.61699570512	25.8881415047	0.026075402757	16.1993024415	1.94510878592	11.6777943863
BWI	10.1367887007	7.06167246709	25.596152935	0.135357938125	14.0897332638	2.52309660302	13.2240962714
GRB	10.0792811839	10.5106551952	27.5457280385	0.0150421179302	28.2448856799	4.52767749699	13.0126353791
AVL	10.0251162791	7.9463619403	16.640537514	0.0257558790594	28.6629339306	4.56215005599	17.1489361702
CAK	10.0177899418	10.4295839049	18.3589001447	0.03666184274	26.0385914134	3.32561505065	16.1895803184
FSD	9.96517325866	9.82798527091	25.4028239203	0.0	32.342192691	4.68272425249	11.9426910299
MCO	9.95978273431	6.79622387783	24.5278966734	0.0778328452354	19.4643313058	2.12397687167	11.6565292483
GNV	9.94164193867	5.99503722084	9.65714285714	0.0	28.6314285714	9.57428571429	26.4142857143
DEN	9.94064854406	8.01789320335	21.1153117045	0.0286338442651	13.1345212948	1.508007005	14.8371156728
HPN	9.92593306973	9.99409658376	20.0245098039	0.0441176470588	27.8076923077	4.12745098039	12.4871794872
SRQ	9.89812627933	10.3617424242	23.0251256281	0.0	23.6281407035	3.74874371859	12.3776022972
HDN	9.87112068966	12.2900696864	30.4385026738	0.030303030303	20.2317290553	5.25490196078	17.6417112299
