,Month,UniqueCarrier,Distance,Cancelled,CancellationCode,Total Flights,Percentage Cancelled
629,Sep-08,US Airways,713.375,120.0,Weather Delay,35739,0.00335767648787
630,Sep-08,US Airways,444.6,100.0,National Airspace System Delay,35739,0.00279806373989
631,Sep-08,Southwest Airlines,522.47826087,460.0,Carrier Delay,98130,0.00468765922756
632,Sep-08,Southwest Airlines,543.97247191,1780.0,Weather Delay,98130,0.0181392030979
633,Sep-08,Southwest Airlines,480.173913043,46.0,National Airspace System Delay,98130,0.000468765922756
634,Sep-08,ExpressJet,583.944444444,18.0,Carrier Delay,23151,0.000777504211481
635,Sep-08,ExpressJet,583.918852459,1220.0,Weather Delay,23151,0.0526975076671
636,Sep-08,ExpressJet,573.13740458,131.0,National Airspace System Delay,23151,0.00565850287245
637,Sep-08,Mesa Airlines,383.242038217,157.0,Carrier Delay,19775,0.00793931731985
638,Sep-08,Mesa Airlines,399.611111111,54.0,Weather Delay,19775,0.00273072060683
639,Sep-08,Mesa Airlines,407.484848485,99.0,National Airspace System Delay,19775,0.00500632111252
