Origin,Dest,DepDelay,ArrDelay,LateAircraftDelay,SecurityDelay,NASDelay,WeatherDelay,CarrierDelay
ABQ,OAK,9.4,2.24851485149,30.7411764706,0.0,4.11176470588,0.623529411765,10.7235294118
ABQ,OKC,8.05676855895,7.76855895197,28.0196078431,0.0,6.03921568627,4.11764705882,16.7254901961
ABQ,ONT,7.52359550562,6.00225733634,38.5362318841,0.0,7.49275362319,0.0,29.2608695652
ABQ,ORD,14.3132694938,13.1675824176,13.105,0.0,38.12,0.185,14.56
ABQ,PDX,14.2561983471,12.2093663912,31.0088495575,0.0,7.44247787611,0.752212389381,7.21238938053
ABQ,PHX,5.95866028708,3.75885845623,27.4466130884,0.0,8.78071182549,1.20665901263,8.6383467279
ABQ,SAN,8.50194174757,4.92780487805,30.582010582,0.0,6.11111111111,1.03174603175,8.53968253968
ABQ,SAT,7.03773584906,2.81603773585,44.3333333333,0.0,5.98148148148,0.0,12.7777777778
ABQ,SEA,12.4520166898,6.76569037657,33.8114285714,0.0,7.06857142857,0.0285714285714,4.96571428571
ABQ,SFO,1.07824427481,0.131931166348,27.4461538462,0.0,28.6153846154,0.8,8.16923076923
ABQ,SLC,3.24814976056,0.893246187364,33.1393728223,0.0,4.393728223,1.20905923345,7.85365853659
ABQ,SMF,3.58709677419,6.88793103448,25.8021978022,0.0,14.6813186813,0.0,4.18681318681
ABQ,STL,2.87945205479,-8.61538461538,29.8333333333,0.0,2.22222222222,0.0,5.72222222222
ABQ,TPA,8.04644808743,0.717808219178,21.0769230769,0.0,6.11538461538,0.0,17.1538461538
ABQ,TUL,4.8347826087,0.331877729258,39.5333333333,0.0,1.4,0.0,4.23333333333
ABQ,TUS,12.4144645341,10.5132496513,37.9595375723,0.0,4.9710982659,0.00578034682081,6.01734104046
ABY,ATL,10.9628942486,11.8300835655,9.85774058577,0.0878661087866,19.3472803347,9.43514644351,23.489539749
ACK,EWR,28.1401869159,27.2336448598,33.7674418605,0.0,35.3837209302,0.0,6.41860465116
ACK,JFK,31.643902439,30.0341463415,13.8684210526,0.0,30.2894736842,16.1315789474,33.7236842105
ACT,DFW,5.20739968734,3.0854611777,27.02734375,0.0,8.6796875,10.3515625,11.390625
ACV,CEC,2.8908045977,1.94411764706,20.0,0.0,11.1590909091,23.7045454545,18.2272727273
ACV,MRY,46.0,,,,,,
ACV,SFO,21.9156785244,22.3413990321,19.1143617021,0.0119680851064,46.3311170213,0.98670212766,11.2180851064
ACV,SJC,211.0,,,,,,
ACV,SLC,1.38888888889,-0.343915343915,21.1481481481,0.0,10.7037037037,0.0,21.2592592593
ACV,SMF,4.80895008606,2.99307958478,36.6086956522,0.0,3.13043478261,6.05434782609,5.91304347826
ACY,ATL,18.4818181818,4.96330275229,0.0,0.0,72.5,0.0,88.5833333333
ACY,JFK,3.0,5.0,,,,,
ACY,LGA,30.0,30.0,0.0,0.0,30.0,0.0,0.0
